Response_id,ID,Height,Armspan,Head,Rhand,Lhand,RFoot,LFoot,Hand
1199767,727,61.75,62.5,22,7.5,7.75,8.5,8.5,Right
1199768,CAL3,64.75,65.5,22.5,8.5,8.25,9.5,10.5,Right
1199769,6101,68.25,68,23.5,7.5,7.5,10.25,10.25,Right
1199770,J0HN,70.25,73,23.5,8.5,8.5,10.5,10.5,Right
1199771,6434,70,68,23,8.25,8.5,10.5,10.5,Right
1199772,3717,69,68.75,22,8,8.25,10,10,Right
1199773,AB10,67.25,68.75,23.25,8,8,10,9,Right
1199774,YPIA,70.25,70.5,23,8.75,8.5,10.5,10.75,Right
1199775,8888,66.5,67.5,23,7.5,6.5,9.5,9.75,Right
1199776,6542,69.5,65,22.5,8.5,8.25,10,10,Right
1199777,7402,72.25,74.25,22.75,8.5,8.25,10.75,11,Right
1199778,LENA,62.5,62,23,8,8,9,9,Right
1199779,7535,63.5,61.5,22,7.5,7.75,9,9.5,Left
1199780,cOoL,72,72,23,8,8.25,9.5,10,Right
1199781,5713,64,64,21.5,7,7,9.5,9.5,Right
1199782,9163,72.75,71.25,23,9.25,9.25,11,10.75,Right
1199783,rs24,62.5,60.5,22.5,8,8.25,9.4,9.6,Right
1199784,1019,67.25,66,23.25,7.5,7.75,9.75,10,Right
1199785,5734,69.5,69.5,22.75,8.75,8.75,10.5,10.5,Right
1199786,DX27,67,66.75,17.5,7.5,7.25,9.5,9.75,Right
1199787,1369,67.5,64.5,22,8.5,8.75,10.5,10.5,Right
1199788,504,74.5,78.25,23.5,9,8.75,11.25,11.5,Right
1199789,1112,70,70,23,8.25,8.25,10.5,10.25,Right
1199790,312,69.5,70.5,22,8.75,9,10.75,11,Right
1199791,LA99,64,64,22,8,8,10,9.5,Left
1199792,8944,66.75,66.5,23.5,7.75,8,25.4,25.4,Right
1199793,CDB3,69.5,69.5,22.25,7.75,7.75,9.25,9.25,Right
1199794,7B59,,,,,,,,
1199795,7B59,67,63.5,22.5,7.75,8,9,9.25,Right
1199821,roww,70,72,22.5,8.25,8.25,10.5,10.75,Right
1199822,5678,67,63,23,7,7,9,9.25,Right
1199823,EA36,75.5,76.5,22,8.75,8.5,10.5,10.5,Left
1199824,9153,63,64.5,23,8.25,8.25,9,9,Right
1199825,5555,66,,21,,,,9,
1199826,1007,68.5,68,22,7.75,8,9.75,10,Left
1199827,1220,62,61,21,7,7.5,9,9,Right
1199828,3ena,63,62.75,22,7.75,7.75,8.75,9,Right
1199829,439b,72,72,23.5,7.65,7.8,11.6,11.7,Right
1199830,4765,65,65.5,22.1,7.5,7.6,9.5,9.5,Right
1199831,307N,73.5,76,22.75,8.75,9.25,11,11.25,Right
1199832,3741,64.5,64,21.75,7.5,7.5,9,9,Right
1199833,706,64.5,64,22,7.25,7.25,9,9,Right
1199834,BC69,71,71,22,8,8,10.5,10.5,Ambidexterous
1199835,3141,68,67.25,23.25,7.75,8,10,10,Right
1199836,310,63,66,22.75,9,8.75,10.5,10.75,Right
1199837,CHCH,67,71.25,23.75,9,9,10.5,11,Right
1199838,BEL3,71.75,77.5,22.5,9,9.25,11.25,10.5,Right
1199839,6429,68,71,22,8.25,8.25,10.5,10.5,Right
1199840,B3AN,68.5,69.5,23.25,9.75,9.75,10.5,10.5,Right
1199841,ETN7,70.5,71.5,22,8,8,9.25,9.75,Right
1199842,FM70,66.5,66,24.25,8,8,9.75,9.25,Right
1199843,LUCI,66,66,23,7,7,,,Right
1199844,rawr,71.25,75,23,8,8,10.5,10.25,Right
1199845,M1C7,71,74,23.5,8.25,8,10.75,10.5,Left
1199847,EA59,63.5,65.5,,8,8.25,9,9.5,Right